combination,val1,val2,val3,std,r2,mean
"['HeatingQC', 'PoolArea', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8581959990929455,0.8004824084623148,0.7582649742499188,0.0409598448634427,0.7415112633406878,0.8056477939350598
"['Exterior1st', 'PoolArea', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8573537782080217,0.799473798761855,0.7579003069052818,0.04078322122311544,0.7419922604564827,0.8049092946250528
"['Exterior2nd', 'PoolArea', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8582664488701344,0.796347615679319,0.7583896041382948,0.04116381455362698,0.742282326252938,0.8043345562292493
"['HouseStyle', 'PoolArea', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.857808797314875,0.8013142618129249,0.7588609706223404,0.04053062885943247,0.7423119933925486,0.8059946765833801
"['GarageQual', 'PoolArea', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8577581183756529,0.8003778690226039,0.7579271631553801,0.04090744983039387,0.7422608425332305,0.8053543835178788
"['YearBuilt', 'PoolArea', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8578119817585891,0.8005308795175861,0.7583255634043082,0.04077030621410764,0.7424447211434679,0.8055561415601611
"['OverallCond', 'PoolArea', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8621865081903994,0.8072885379509728,0.7651855188063205,0.039715157054810164,0.7519573497144176,0.8115535216492309
"['CentralAir', 'PoolArea', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8580891226943621,0.8014492441142981,0.7590108075137411,0.04058681954320526,0.7406120216467073,0.8061830581074672
"['Exterior1st', 'HeatingQC', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8580148975021665,0.799649760581298,0.7582764058689524,0.04091455921417763,0.7541917412788817,0.8053136879841389
"['Exterior2nd', 'HeatingQC', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8590021945474181,0.796240681813439,0.7586590518287424,0.04139260895326952,0.7542233395135071,0.8046339760631999
"['HouseStyle', 'HeatingQC', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8586273862269315,0.8015639029194565,0.7592196251922878,0.040731071864853696,0.753990038138018,0.8064703047795586
"['GarageQual', 'HeatingQC', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8586375331018331,0.8006329492582558,0.7582922955713226,0.04113180628791351,0.7543560494310626,0.8058542593104705
"['YearBuilt', 'HeatingQC', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8587478577932555,0.8008416427631193,0.7587931397944258,0.040977164360504456,0.7542348568033024,0.8061275467836002
"['OverallCond', 'HeatingQC', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8628412055810514,0.8074644244521312,0.765302890193391,0.03994149308386226,0.7638478929019671,0.8118695067421912
"['CentralAir', 'HeatingQC', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8588029072467276,0.8015926703122107,0.7593267884589121,0.04076342885483416,0.753709696908073,0.8065741220059501
"['Exterior2nd', 'Exterior1st', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.857874683620604,0.7932908928229159,0.7538643569468179,0.04287406081870807,0.7516644267184258,0.8016766444634459
"['HouseStyle', 'Exterior1st', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8579750381342525,0.8007142022487995,0.7588872285400976,0.040615668933302505,0.7548710349635384,0.8058588229743832
"['GarageQual', 'Exterior1st', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8574798595922448,0.7996691775973515,0.7578475275923184,0.040848945235399114,0.7552651541972264,0.8049988549273049
"['YearBuilt', 'Exterior1st', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8581926930733835,0.7997223173740474,0.7586545786234827,0.040842761127616256,0.7552143256608848,0.8055231963569712
"['OverallCond', 'Exterior1st', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8626662967867026,0.8067377693330253,0.7647227275534152,0.040119552829338684,0.7644288556438016,0.8113755978910477
"['CentralAir', 'Exterior1st', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.857605810112448,0.8007297834113569,0.7590428717367816,0.04039710363588027,0.754263282856902,0.805792821753529
"['HouseStyle', 'Exterior2nd', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8589304735463642,0.7975793304261019,0.7595775769667396,0.040932320952343136,0.7556179111319092,0.8053624603130686
"['GarageQual', 'Exterior2nd', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8585615220984603,0.7964817520620003,0.7584742458451625,0.04125251675070753,0.7557339502039533,0.8045058400018744
"['YearBuilt', 'Exterior2nd', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8592078540135069,0.7956238630533823,0.7590590581509256,0.04137859105154219,0.7561804129321621,0.8046302584059383
"['OverallCond', 'Exterior2nd', 'GarageFinish', 'GarageType', '1stFlrSF', 'TotalBsmtSF', 'GarageCars', 'KitchenQual', 'OverallQual', 'Neighborhood', 'GrLivArea', 'ExterQual', 'TotRmsAbvGrd']",0.8639362576628146,0.8032376042886774,0.7664659223395228,0.04018975737788363,0.7660252551608181,0.8112132614303382
